tienda,nombre,precio_actual,precio_anterior,descuento_porcentaje,tamaño_botella,tipo_vino,pais_origen,region_origen,uva_varietal,url_producto,fecha_scraping,tiene_descuento,ml_botella,precio_por_ml,segmento_precio
La Europea,Matarromera Reserva,1548.75,2065.0,25.0,750 ML,Tinto,España,Ribera Del Duero,Tempranillo,https://www.laeuropea.com.mx/vt-matarromera-rva-750ml-10000002188.html,2025-10-31 20:37:38,True,750.0,2.065,Premium
La Europea,Ancon San Vicente,1549.99,,,750 ML,Tinto,México,Baja California,,https://www.laeuropea.com.mx/vt-ancon-san-vicente-750-ml-10000016637.html,2025-10-31 20:39:03,False,750.0,2.0667,Premium
La Europea,Majuelos de Callejo,1595.0,,,,Tinto,España,Ribera del Duero,Tempranillo,https://www.laeuropea.com.mx/vt-majuelos-de-callejo-750ml-10000005515.html,2025-10-31 20:39:10,False,,,Premium
La Europea,Proventus,1603.8,1782.0,10.0,1500 ML,Tinto,España,Ribera del Duero,,https://www.laeuropea.com.mx/vt-proventus-1-5-l-10000013531.html,2025-10-31 20:36:23,True,1500.0,1.0692,Premium
La Europea,Milmanda de Torres,1717.0,,,750 ML,Blanco,España,Milmanda,,https://www.laeuropea.com.mx/vb-milmanda-de-torres-750ml-10000001612.html,2025-10-31 20:37:03,False,750.0,2.2893,Premium
La Europea,Luc Belaire Falaire,1735.24,,,,Espumoso,Francia,Provenza Alpes Costa Azul,,https://www.laeuropea.com.mx/ve-belaire-rose-fantome-1-5l-10000009880.html,2025-10-31 20:36:50,False,,,Premium
La Europea,Icewine Pillitteri,1769.37,3538.73,50.0,,Tinto,Canadá,Niagara-on-the-Lake,Cabernet Sauvignon,https://www.laeuropea.com.mx/vt-icewine-pilliteri-cab-u375ml-10000011747.html,2025-10-31 20:38:12,True,,,Premium
La Europea,Icewine Pillitteri Riesling,1789.91,3579.82,50.0,,Tinto,Canadá,Niagara-on-the-Lake,,https://www.laeuropea.com.mx/vb-icewine-pilliteri-riesling-375ml-10000011746.html,2025-10-31 20:39:36,True,,,Premium
La Europea,Cannubi Marchesi Di Bari,1999.0,,,,Tinto,Italia,Piamonte,Nebbiolo,https://www.laeuropea.com.mx/vt-marchesi-di-barolo-cannubi-750ml-10000009741.html,2025-10-31 20:38:32,False,,,Premium
La Europea,Batasiolo Barolo Briccolina,2239.31,4478.62,50.0,,Tinto,Italia,Piamonte,,https://www.laeuropea.com.mx/vt-barolo-briccolina-batasiolo-750ml-10000008224.html,2025-10-31 20:38:47,True,,,Premium
La Europea,"Montes Alpha ""M""",2319.2,2899.0,20.0,750 ML,Tinto,Chile,Valle de Apalta,Cabernet Sauvignon 90% - Merlot 10%.,https://www.laeuropea.com.mx/vt-montes-alpha-m-750-ml-10000002430.html,2025-10-31 20:39:20,True,750.0,3.0923,Premium
La Europea,El Ixsir,2567.87,,,,Tinto,Líbano,Batroun,,https://www.laeuropea.com.mx/vt-el-ixsir-750ml-10000010686.html,2025-10-31 20:37:34,False,,,Premium
La Europea,Tr3smano,2716.0,3395.0,20.0,1500 ML,Tinto,España,Ribera del Duero,Tempranillo,https://www.laeuropea.com.mx/vt-tr3smano-1-5l-10000010260.html,2025-10-31 20:36:42,True,1500.0,1.8107,Premium
La Europea,Hospices de Beaune Cuvee Menault,2889.48,4334.0,33.33,,Blanco,Francia,Borgoña,,https://www.laeuropea.com.mx/vb-hospices-de-beaune-saint-roma-n750ml-10000011013.html,2025-10-31 20:39:30,True,,,Premium
La Europea,Gabbro Montepeloso,3038.44,5064.07,40.0,,Tinto,Italia,Toscana,,https://www.laeuropea.com.mx/vt-montepeloso-gabbro-750ml-10000007134.html,2025-10-31 20:36:31,True,,,Premium
La Europea,Marqués de Vargas Selección Privada,3154.5,,,750 ML,Tinto,España,Rioja,"Tempranillo, resto Mazuelo, Garnacha, Cabernet Sauvignon.",https://www.laeuropea.com.mx/vt-marques-de-vargas-rva-privada-750ml-10000000010.html,2025-10-31 20:36:23,False,750.0,4.206,Premium
